Lengua,Estado,Municipio,Localidad,HLI,Hombres,Mujeres,Latitud ,Longitud
amuzgo,Guerrero,Tlacoachistlahuaca,San Isidro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,San Martín,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,San Pedro Cuitlapan,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Tlacoachistlahuaca,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,Tlacoachistlahuaca,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Tlacoachistlahuaca,,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Blanquillo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Chacale Dos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Chacale Uno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Chivo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Copal,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Gente,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Grande,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Guacamaya Uno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Gusano Sur,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Jícaro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Juste,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Lodo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Montaña,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Mujer Dos,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Mujer Uno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Naranja,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Ocote Metido,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Pájaro,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Parotas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Patio,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Pato,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Platanar Verón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Redes,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Sangre,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Seco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Tigre,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Totole,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Totole Uno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Tronco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Arroyo Yerbasanta,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cabeza de Arroyo Caballo (Arroyo Caballo),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cabeza de Arroyo Granizo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cabeza de Arroyo Limón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cabeza de Arroyo Nuevo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro Bronco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro Cajón,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro Cenizas,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro de Piedra Regada,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro del Árbol Molinillo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cerro Heno,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Colonia Cerro Nanche,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Colonia del PRI Hogar Modelo,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Colonia Progreso,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Colonia Renacimiento,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Colonia San Francisco,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cozoyoapán,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cruz de Piedra Blanca,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cruz Podrida,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Cumbre de San José,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,El Carmen,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,El Santiago,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Guadalupe Victoria,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Junta de Arroyo Blanquillo (Rancho Librado Ramos),as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Junta de Arroyo Grande,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,La Ciénega,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,La Soledad,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Lindavista,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Llano del Carmen,as,as,as,sin datos ,sin datos 
amuzgo,Guerrero,Xochistlahuaca,Llano Grande (Arroyo Pila),as,as,as,sin datos ,sin datos 
